,imname,grade
228,cow_1+_3505.jpg,1+
229,cow_3_1325.jpg,3
230,cow_2_4595.jpg,2
231,cow_1++_750.jpg,1++
232,cow_1_676.jpg,1
233,cow_1++_3744.jpg,1++
235,cow_1_4077.jpg,1
236,cow_1+_1718.jpg,1+
237,cow_1+_2212.jpg,1+
238,cow_1+_2614.jpg,1+
239,cow_2_2023.jpg,2
240,cow_1+_3934.jpg,1+
242,cow_3_456.jpg,3
243,cow_1++_678.jpg,1++
250,cow_1++_3003.jpg,1++
252,cow_3_3954.jpg,3
254,cow_2_926.jpg,2
255,cow_1++_2779.jpg,1++
258,cow_1+_4771.jpg,1+
260,cow_1+_4149.jpg,1+
261,cow_1++_4568.jpg,1++
263,cow_2_3970.jpg,2
264,cow_1_4524.jpg,1
265,cow_1+_2526.jpg,1+
266,cow_1+_4693.jpg,1+
267,cow_1++_1797.jpg,1++
268,cow_2_792.jpg,2
269,cow_3_1463.jpg,3
270,cow_1++_3029.jpg,1++
273,cow_2_208.jpg,2
274,cow_2_3085.jpg,2
277,cow_1_3232.jpg,1
279,cow_1+_3079.jpg,1+
280,cow_1_331.jpg,1
282,cow_1_1537.jpg,1
285,cow_2_4364.jpg,2
288,cow_3_2730.jpg,3
289,cow_2_2316.jpg,2
291,cow_1_2285.jpg,1
301,cow_3_3077.jpg,3
302,cow_2_1645.jpg,2
304,cow_3_1646.jpg,3
306,cow_1++_101.jpg,1++
307,cow_1+_5029.jpg,1+
308,cow_1_3557.jpg,1
309,cow_1+_5912.jpg,1+
310,cow_1++_320.jpg,1++
312,cow_1_3288.jpg,1
313,cow_3_3286.jpg,3
314,cow_1_5974.jpg,1
315,cow_1++_371.jpg,1++
316,cow_2_5368.jpg,2
317,cow_2_933.jpg,2
319,cow_3_3129.jpg,3
320,cow_1+_491.jpg,1+
321,cow_2_666.jpg,2
325,cow_1_5526.jpg,1
326,cow_2_2271.jpg,2
327,cow_1+_786.jpg,1+
328,cow_1_3791.jpg,1
329,cow_2_2222.jpg,2
330,cow_2_4454.jpg,2
331,cow_3_526.jpg,3
334,cow_1_3454.jpg,1
336,cow_1++_5162.jpg,1++
337,cow_1+_1256.jpg,1+
338,cow_1+_5529.jpg,1+
339,cow_3_787.jpg,3
341,cow_1_2784.jpg,1
343,cow_1++_4124.jpg,1++
344,cow_1+_4469.jpg,1+
346,cow_1++_4510.jpg,1++
348,cow_1+_1917.jpg,1+
351,cow_1++_3345.jpg,1++
353,cow_1+_351.jpg,1+
357,cow_1_5870.jpg,1
358,cow_1+_3695.jpg,1+
359,cow_1+_123.jpg,1+
363,cow_1_5767.jpg,1
365,cow_2_5266.jpg,2
367,cow_1++_555.jpg,1++
368,cow_2_3567.jpg,2
370,cow_1+_5564.jpg,1+
371,cow_2_850.jpg,2
372,cow_3_407.jpg,3
375,cow_1+_4377.jpg,1+
376,cow_1+_3919.jpg,1+
377,cow_1_2229.jpg,1
379,cow_1+_478.jpg,1+
380,cow_2_4418.jpg,2
382,cow_3_3734.jpg,3
383,cow_1+_2439.jpg,1+
385,cow_1_1683.jpg,1
386,cow_2_4185.jpg,2
388,cow_1_4449.jpg,1
389,cow_1_997.jpg,1
390,cow_1_4017.jpg,1
391,cow_1+_4529.jpg,1+
394,cow_2_72.jpg,2
396,cow_3_1602.jpg,3
398,cow_1++_3166.jpg,1++
399,cow_1++_5151.jpg,1++
400,cow_1++_2913.jpg,1++
401,cow_1_5535.jpg,1
402,cow_3_2744.jpg,3
403,cow_1_5097.jpg,1
405,cow_1+_1212.jpg,1+
406,cow_1+_5245.jpg,1+
408,cow_1+_1004.jpg,1+
409,cow_2_4719.jpg,2
410,cow_1++_4895.jpg,1++
411,cow_1+_3229.jpg,1+
413,cow_1_4444.jpg,1
414,cow_1+_408.jpg,1+
415,cow_1++_1769.jpg,1++
416,cow_1++_2739.jpg,1++
418,cow_3_1189.jpg,3
419,cow_1+_415.jpg,1+
420,cow_1_43.jpg,1
422,cow_1++_4687.jpg,1++
424,cow_3_2928.jpg,3
427,cow_1+_2298.jpg,1+
430,cow_1+_4740.jpg,1+
431,cow_1++_4964.jpg,1++
432,cow_1++_4768.jpg,1++
433,cow_1++_3642.jpg,1++
434,cow_2_3831.jpg,2
435,cow_1_4087.jpg,1
436,cow_1++_5591.jpg,1++
437,cow_1+_3870.jpg,1+
438,cow_1_4923.jpg,1
440,cow_2_4707.jpg,2
441,cow_1+_5819.jpg,1+
442,cow_1_2394.jpg,1
444,cow_1++_3696.jpg,1++
447,cow_3_486.jpg,3
448,cow_1++_1424.jpg,1++
449,cow_1_4748.jpg,1
451,cow_3_1612.jpg,3
452,cow_1++_4963.jpg,1++
453,cow_1+_3937.jpg,1+
457,cow_1++_3086.jpg,1++
458,cow_1+_728.jpg,1+
459,cow_1_4287.jpg,1
463,cow_2_4921.jpg,2
464,cow_3_3150.jpg,3
471,cow_1+_4448.jpg,1+
472,cow_1+_122.jpg,1+
473,cow_3_2934.jpg,3
474,cow_1_4069.jpg,1
475,cow_1++_3126.jpg,1++
476,cow_1++_4436.jpg,1++
477,cow_1++_1234.jpg,1++
478,cow_1+_2602.jpg,1+
480,cow_3_3061.jpg,3
482,cow_2_5257.jpg,2
483,cow_1++_2138.jpg,1++
485,cow_2_4947.jpg,2
486,cow_1++_3144.jpg,1++
487,cow_3_906.jpg,3
488,cow_1_1902.jpg,1
489,cow_1++_2905.jpg,1++
493,cow_1_2869.jpg,1
494,cow_1_4473.jpg,1
495,cow_1_5471.jpg,1
496,cow_2_5455.jpg,2
497,cow_1++_4087.jpg,1++
498,cow_3_3661.jpg,3
499,cow_3_1526.jpg,3
501,cow_3_1208.jpg,3
502,cow_3_2678.jpg,3
503,cow_1+_23.jpg,1+
504,cow_1++_4212.jpg,1++
505,cow_1++_693.jpg,1++
506,cow_3_2157.jpg,3
508,cow_1++_2171.jpg,1++
510,cow_3_1243.jpg,3
513,cow_1++_1630.jpg,1++
514,cow_1+_1025.jpg,1+
515,cow_2_4955.jpg,2
516,cow_1+_2950.jpg,1+
518,cow_1_4769.jpg,1
519,cow_2_1990.jpg,2
520,cow_1_750.jpg,1
521,cow_1_1809.jpg,1
522,cow_3_571.jpg,3
523,cow_1++_5982.jpg,1++
524,cow_1++_2139.jpg,1++
526,cow_2_4215.jpg,2
528,cow_1++_5750.jpg,1++
530,cow_3_1343.jpg,3
532,cow_1_5604.jpg,1
534,cow_1++_4158.jpg,1++
535,cow_1++_4503.jpg,1++
536,cow_1+_3007.jpg,1+
537,cow_1++_3851.jpg,1++
538,cow_1+_4258.jpg,1+
541,cow_1++_4764.jpg,1++
542,cow_2_3181.jpg,2
543,cow_1+_2880.jpg,1+
545,cow_2_5379.jpg,2
547,cow_1++_982.jpg,1++
548,cow_1++_5917.jpg,1++
549,cow_3_447.jpg,3
550,cow_1+_4249.jpg,1+
551,cow_3_3620.jpg,3
552,cow_1_3946.jpg,1
553,cow_1+_3323.jpg,1+
554,cow_1_1260.jpg,1
555,cow_1_964.jpg,1
557,cow_3_1505.jpg,3
558,cow_1+_2291.jpg,1+
559,cow_1_637.jpg,1
560,cow_1_3730.jpg,1
562,cow_2_2324.jpg,2
563,cow_3_2319.jpg,3
564,cow_1+_496.jpg,1+
565,cow_2_5038.jpg,2
566,cow_1+_3527.jpg,1+
567,cow_2_3263.jpg,2
568,cow_1_1915.jpg,1
569,cow_1_1992.jpg,1
570,cow_2_5895.jpg,2
571,cow_2_257.jpg,2
573,cow_2_43.jpg,2
575,cow_1_2969.jpg,1
577,cow_1_3682.jpg,1
579,cow_2_1403.jpg,2
581,cow_2_875.jpg,2
582,cow_1+_3685.jpg,1+
583,cow_3_762.jpg,3
584,cow_1+_719.jpg,1+
585,cow_1+_4130.jpg,1+
587,cow_1_5641.jpg,1
589,cow_1++_834.jpg,1++
591,cow_1_2791.jpg,1
592,cow_1+_372.jpg,1+
593,cow_1+_4947.jpg,1+
594,cow_3_1971.jpg,3
595,cow_2_5319.jpg,2
596,cow_1++_5199.jpg,1++
598,cow_1++_5289.jpg,1++
602,cow_3_2190.jpg,3
603,cow_1++_1884.jpg,1++
605,cow_1_1225.jpg,1
606,cow_1+_4824.jpg,1+
607,cow_1++_5196.jpg,1++
608,cow_3_2181.jpg,3
609,cow_1+_1418.jpg,1+
612,cow_2_4813.jpg,2
613,cow_3_3674.jpg,3
614,cow_2_3690.jpg,2
616,cow_1_3931.jpg,1
618,cow_1++_1442.jpg,1++
619,cow_1_4705.jpg,1
620,cow_1+_4782.jpg,1+
621,cow_1++_1014.jpg,1++
622,cow_3_468.jpg,3
623,cow_3_259.jpg,3
624,cow_1_440.jpg,1
626,cow_1+_29.jpg,1+
628,cow_2_3152.jpg,2
630,cow_1++_4713.jpg,1++
632,cow_1+_4558.jpg,1+
633,cow_1++_4811.jpg,1++
634,cow_1++_4353.jpg,1++
635,cow_2_4410.jpg,2
637,cow_1+_3207.jpg,1+
639,cow_1++_53.jpg,1++
640,cow_1+_5892.jpg,1+
642,cow_1++_1682.jpg,1++
643,cow_1++_2835.jpg,1++
644,cow_1_5177.jpg,1
645,cow_1+_1594.jpg,1+
646,cow_2_3565.jpg,2
647,cow_1++_369.jpg,1++
649,cow_2_87.jpg,2
650,cow_1_3019.jpg,1
651,cow_1++_4103.jpg,1++
652,cow_3_2922.jpg,3
653,cow_1+_1383.jpg,1+
655,cow_1_1384.jpg,1
656,cow_1++_5694.jpg,1++
657,cow_2_2961.jpg,2
660,cow_1+_916.jpg,1+
661,cow_2_4361.jpg,2
664,cow_3_479.jpg,3
665,cow_1++_500.jpg,1++
666,cow_1_2789.jpg,1
667,cow_1_133.jpg,1
669,cow_1++_1591.jpg,1++
671,cow_1+_5254.jpg,1+
672,cow_1+_2014.jpg,1+
676,cow_1_5300.jpg,1
677,cow_1++_2459.jpg,1++
678,cow_1+_4638.jpg,1+
680,cow_1_5706.jpg,1
681,cow_1++_4491.jpg,1++
684,cow_1++_880.jpg,1++
685,cow_1++_2378.jpg,1++
686,cow_1_5122.jpg,1
687,cow_1++_4929.jpg,1++
688,cow_1_2026.jpg,1
692,cow_1_711.jpg,1
694,cow_1_5287.jpg,1
695,cow_1_4190.jpg,1
698,cow_3_883.jpg,3
701,cow_2_148.jpg,2
702,cow_2_4383.jpg,2
703,cow_3_3250.jpg,3
706,cow_1++_1051.jpg,1++
714,cow_1++_1088.jpg,1++
716,cow_1+_735.jpg,1+
717,cow_1++_2492.jpg,1++
719,cow_1_5719.jpg,1
721,cow_3_2367.jpg,3
722,cow_1_4035.jpg,1
723,cow_2_3503.jpg,2
724,cow_2_5015.jpg,2
725,cow_1++_5236.jpg,1++
726,cow_2_2660.jpg,2
728,cow_1_1230.jpg,1
729,cow_2_4357.jpg,2
730,cow_1+_4519.jpg,1+
732,cow_1+_1405.jpg,1+
733,cow_1+_2575.jpg,1+
735,cow_1+_138.jpg,1+
736,cow_1_3912.jpg,1
738,cow_1_250.jpg,1
739,cow_1+_979.jpg,1+
741,cow_3_393.jpg,3
743,cow_1+_5974.jpg,1+
744,cow_1_2891.jpg,1
746,cow_3_2408.jpg,3
747,cow_1++_276.jpg,1++
748,cow_2_2531.jpg,2
749,cow_1++_1729.jpg,1++
751,cow_2_2923.jpg,2
752,cow_1++_4815.jpg,1++
754,cow_2_3601.jpg,2
756,cow_2_462.jpg,2
757,cow_3_575.jpg,3
760,cow_1++_2191.jpg,1++
762,cow_2_1778.jpg,2
763,cow_3_1944.jpg,3
764,cow_1++_3789.jpg,1++
767,cow_1_1266.jpg,1
768,cow_2_4415.jpg,2
769,cow_1_5848.jpg,1
770,cow_1_1219.jpg,1
771,cow_1+_584.jpg,1+
772,cow_1+_4679.jpg,1+
774,cow_3_1254.jpg,3
775,cow_1_5887.jpg,1
776,cow_2_4820.jpg,2
778,cow_1_494.jpg,1
782,cow_3_3400.jpg,3
783,cow_3_3347.jpg,3
784,cow_3_846.jpg,3
785,cow_2_5395.jpg,2
786,cow_1+_743.jpg,1+
788,cow_1_890.jpg,1
789,cow_1_1852.jpg,1
790,cow_1_5413.jpg,1
792,cow_1++_2878.jpg,1++
794,cow_2_5023.jpg,2
796,cow_1+_3917.jpg,1+
801,cow_1++_1070.jpg,1++
802,cow_1++_3551.jpg,1++
803,cow_1+_1026.jpg,1+
804,cow_1++_1330.jpg,1++
807,cow_1++_1554.jpg,1++
808,cow_1_1983.jpg,1
809,cow_1+_5627.jpg,1+
810,cow_3_1573.jpg,3
811,cow_2_5747.jpg,2
812,cow_1+_4382.jpg,1+
814,cow_2_4172.jpg,2
815,cow_1+_5959.jpg,1+
816,cow_1_2588.jpg,1
818,cow_1++_1547.jpg,1++
820,cow_1++_5012.jpg,1++
821,cow_1_2044.jpg,1
825,cow_1++_782.jpg,1++
826,cow_1+_2959.jpg,1+
827,cow_3_529.jpg,3
828,cow_2_4325.jpg,2
830,cow_3_3718.jpg,3
831,cow_1_3693.jpg,1
832,cow_1++_496.jpg,1++
833,cow_1++_1061.jpg,1++
835,cow_1_5053.jpg,1
837,cow_2_3039.jpg,2
841,cow_1+_3073.jpg,1+
844,cow_1+_5457.jpg,1+
845,cow_2_303.jpg,2
846,cow_1_4558.jpg,1
848,cow_1_26.jpg,1
849,cow_1_3724.jpg,1
850,cow_2_1140.jpg,2
851,cow_1+_642.jpg,1+
855,cow_1_98.jpg,1
856,cow_1_4674.jpg,1
858,cow_1_3384.jpg,1
859,cow_1++_761.jpg,1++
860,cow_2_1084.jpg,2
862,cow_1_656.jpg,1
864,cow_1_5568.jpg,1
865,cow_1_2544.jpg,1
866,cow_1++_1994.jpg,1++
867,cow_1+_603.jpg,1+
869,cow_1+_1248.jpg,1+
870,cow_1+_752.jpg,1+
872,cow_2_1942.jpg,2
873,cow_3_3727.jpg,3
874,cow_3_2403.jpg,3
876,cow_1+_1285.jpg,1+
877,cow_1_806.jpg,1
879,cow_1++_114.jpg,1++
882,cow_2_2699.jpg,2
884,cow_3_3257.jpg,3
887,cow_3_3070.jpg,3
889,cow_1++_4577.jpg,1++
890,cow_1_1468.jpg,1
892,cow_1_1641.jpg,1
893,cow_3_654.jpg,3
894,cow_1++_4848.jpg,1++
895,cow_1_3559.jpg,1
896,cow_1++_3260.jpg,1++
897,cow_1++_2185.jpg,1++
898,cow_2_610.jpg,2
899,cow_1+_326.jpg,1+
902,cow_1_4679.jpg,1
903,cow_1_4834.jpg,1
906,cow_1+_5645.jpg,1+
907,cow_1_3075.jpg,1
908,cow_1+_5800.jpg,1+
909,cow_1++_1831.jpg,1++
911,cow_1_4970.jpg,1
912,cow_2_4257.jpg,2
913,cow_2_4660.jpg,2
914,cow_2_5936.jpg,2
915,cow_1++_525.jpg,1++
916,cow_1+_2257.jpg,1+
918,cow_1++_533.jpg,1++
919,cow_1++_4819.jpg,1++
920,cow_2_2044.jpg,2
921,cow_1_3704.jpg,1
922,cow_2_3326.jpg,2
923,cow_1++_5368.jpg,1++
925,cow_1+_282.jpg,1+
928,cow_1++_5271.jpg,1++
929,cow_1++_4745.jpg,1++
930,cow_1_5310.jpg,1
931,cow_1_1660.jpg,1
934,cow_2_2578.jpg,2
935,cow_1_4465.jpg,1
936,cow_2_3340.jpg,2
937,cow_1_1293.jpg,1
939,cow_3_1295.jpg,3
940,cow_1+_2929.jpg,1+
941,cow_2_4198.jpg,2
943,cow_1+_3267.jpg,1+
944,cow_1_285.jpg,1
945,cow_1+_5734.jpg,1+
947,cow_2_5397.jpg,2
948,cow_2_1211.jpg,2
950,cow_2_5840.jpg,2
953,cow_3_269.jpg,3
954,cow_3_2930.jpg,3
955,cow_3_528.jpg,3
956,cow_2_3476.jpg,2
957,cow_1_3768.jpg,1
958,cow_2_2286.jpg,2
960,cow_1++_3966.jpg,1++
961,cow_1+_3004.jpg,1+
963,cow_1_1334.jpg,1
964,cow_2_1576.jpg,2
966,cow_1_2720.jpg,1
967,cow_1+_66.jpg,1+
968,cow_1_5323.jpg,1
969,cow_1++_202.jpg,1++
970,cow_2_3255.jpg,2
972,cow_3_634.jpg,3
974,cow_2_88.jpg,2
975,cow_1+_3898.jpg,1+
976,cow_1+_4315.jpg,1+
977,cow_3_994.jpg,3
978,cow_1+_2583.jpg,1+
980,cow_1++_5846.jpg,1++
983,cow_1_5570.jpg,1
986,cow_1_148.jpg,1
988,cow_3_1504.jpg,3
992,cow_2_2842.jpg,2
993,cow_1+_2940.jpg,1+
994,cow_1++_1977.jpg,1++
996,cow_1++_1473.jpg,1++
997,cow_1_1784.jpg,1
1001,cow_3_1898.jpg,3
1005,cow_2_5193.jpg,2
1006,cow_1_978.jpg,1
1008,cow_1_71.jpg,1
1009,cow_1+_2573.jpg,1+
1013,cow_1+_481.jpg,1+
1014,cow_2_130.jpg,2
1016,cow_1++_5766.jpg,1++
1018,cow_1+_5126.jpg,1+
1019,cow_1++_1540.jpg,1++
1021,cow_3_1833.jpg,3
1022,cow_1_4571.jpg,1
1023,cow_3_325.jpg,3
1024,cow_1++_2384.jpg,1++
1025,cow_1_1526.jpg,1
1026,cow_2_4110.jpg,2
1027,cow_2_1119.jpg,2
1029,cow_1++_5441.jpg,1++
1031,cow_2_3797.jpg,2
1032,cow_1++_3312.jpg,1++
1035,cow_1_5163.jpg,1
1036,cow_2_3107.jpg,2
1038,cow_1_3207.jpg,1
1040,cow_1_3407.jpg,1
1041,cow_2_2612.jpg,2
1042,cow_1++_966.jpg,1++
1044,cow_2_61.jpg,2
1045,cow_3_1059.jpg,3
1046,cow_3_281.jpg,3
1050,cow_1+_4530.jpg,1+
1051,cow_3_1499.jpg,3
1053,cow_1+_5915.jpg,1+
1057,cow_1_4707.jpg,1
1058,cow_1+_2855.jpg,1+
1060,cow_2_2683.jpg,2
1062,cow_2_2096.jpg,2
1064,cow_2_1946.jpg,2
1070,cow_2_3467.jpg,2
1071,cow_1+_2795.jpg,1+
1073,cow_2_3193.jpg,2
1074,cow_1+_2090.jpg,1+
1076,cow_2_1584.jpg,2
1077,cow_1+_3224.jpg,1+
1079,cow_1_599.jpg,1
1080,cow_1++_2910.jpg,1++
1084,cow_1++_1660.jpg,1++
1086,cow_2_5386.jpg,2
1087,cow_3_2838.jpg,3
1088,cow_2_5702.jpg,2
1090,cow_2_5053.jpg,2
1094,cow_1_5991.jpg,1
1095,cow_1+_853.jpg,1+
1096,cow_2_5972.jpg,2
1097,cow_3_3099.jpg,3
1098,cow_2_557.jpg,2
1099,cow_1+_616.jpg,1+
1100,cow_1++_1071.jpg,1++
1101,cow_1_83.jpg,1
1102,cow_2_4094.jpg,2
1103,cow_1_3668.jpg,1
1104,cow_3_29.jpg,3
1105,cow_1++_1388.jpg,1++
1107,cow_2_53.jpg,2
1108,cow_2_4902.jpg,2
1109,cow_1++_1023.jpg,1++
1111,cow_2_607.jpg,2
1112,cow_1++_275.jpg,1++
1113,cow_2_1384.jpg,2
1114,cow_1++_483.jpg,1++
1115,cow_1_4548.jpg,1
1119,cow_2_4452.jpg,2
1120,cow_2_2014.jpg,2
1122,cow_1++_4548.jpg,1++
1123,cow_1_2638.jpg,1
1124,cow_3_1545.jpg,3
1125,cow_1++_1083.jpg,1++
1126,cow_1_2759.jpg,1
1128,cow_1_1835.jpg,1
1129,cow_1++_5224.jpg,1++
1130,cow_1_329.jpg,1
1132,cow_1_4556.jpg,1
1133,cow_1++_2227.jpg,1++
1134,cow_1_3354.jpg,1
1135,cow_1++_3205.jpg,1++
1137,cow_1_1442.jpg,1
1140,cow_1++_4040.jpg,1++
1142,cow_1++_4757.jpg,1++
1144,cow_3_3711.jpg,3
1145,cow_2_5850.jpg,2
1147,cow_1_5360.jpg,1
1149,cow_1_3886.jpg,1
1153,cow_1++_620.jpg,1++
1158,cow_1+_5479.jpg,1+
1159,cow_1+_4437.jpg,1+
1160,cow_1+_3276.jpg,1+
1162,cow_1_2021.jpg,1
1166,cow_1_2733.jpg,1
1167,cow_1++_3271.jpg,1++
1168,cow_1_5118.jpg,1
1169,cow_1+_5203.jpg,1+
1170,cow_1_1147.jpg,1
1171,cow_1_4140.jpg,1
1173,cow_2_810.jpg,2
1174,cow_1++_2445.jpg,1++
1176,cow_1+_1890.jpg,1+
1177,cow_2_1131.jpg,2
1178,cow_2_2559.jpg,2
1179,cow_1_4356.jpg,1
1181,cow_1+_3190.jpg,1+
1182,cow_1+_5727.jpg,1+
1184,cow_3_3172.jpg,3
1185,cow_1_261.jpg,1
1186,cow_1++_3778.jpg,1++
1191,cow_1++_3999.jpg,1++
1192,cow_2_941.jpg,2
1193,cow_1_2802.jpg,1
1195,cow_1_1161.jpg,1
1196,cow_1_1090.jpg,1
1197,cow_1_5725.jpg,1
1198,cow_3_892.jpg,3
1199,cow_1++_3234.jpg,1++
1201,cow_3_1702.jpg,3
1202,cow_1_3342.jpg,1
1203,cow_3_1364.jpg,3
1207,cow_1_2684.jpg,1
1208,cow_3_1689.jpg,3
1210,cow_1_917.jpg,1
1212,cow_3_2789.jpg,3
1213,cow_2_2689.jpg,2
1215,cow_1_473.jpg,1
1216,cow_1+_602.jpg,1+
1217,cow_2_1894.jpg,2
1218,cow_2_4993.jpg,2
1219,cow_1++_2533.jpg,1++
1220,cow_1+_4006.jpg,1+
1221,cow_1+_228.jpg,1+
1224,cow_1++_3077.jpg,1++
1225,cow_1_243.jpg,1
1226,cow_3_746.jpg,3
1227,cow_1+_4873.jpg,1+
1229,cow_1++_2953.jpg,1++
1235,cow_1_1248.jpg,1
1237,cow_1+_1013.jpg,1+
1238,cow_2_4142.jpg,2
1239,cow_1++_1581.jpg,1++
1241,cow_1+_813.jpg,1+
1244,cow_1+_5088.jpg,1+
1246,cow_1++_4468.jpg,1++
1247,cow_1_1889.jpg,1
1250,cow_1++_1669.jpg,1++
1251,cow_1+_2582.jpg,1+
1252,cow_1_4859.jpg,1
1253,cow_1++_4525.jpg,1++
1255,cow_1+_5058.jpg,1+
1256,cow_1+_936.jpg,1+
1259,cow_3_2802.jpg,3
1261,cow_1+_1241.jpg,1+
1262,cow_2_2788.jpg,2
1263,cow_3_3271.jpg,3
1264,cow_2_4495.jpg,2
1265,cow_2_2258.jpg,2
1266,cow_1+_3056.jpg,1+
1267,cow_1++_5100.jpg,1++
1268,cow_2_1135.jpg,2
1269,cow_2_1732.jpg,2
1271,cow_1_2583.jpg,1
1274,cow_3_2867.jpg,3
1276,cow_2_2177.jpg,2
1278,cow_1_3167.jpg,1
1279,cow_1+_387.jpg,1+
1280,cow_2_3037.jpg,2
1282,cow_1_4304.jpg,1
1283,cow_3_678.jpg,3
1285,cow_2_3449.jpg,2
1287,cow_1+_4525.jpg,1+
1289,cow_2_858.jpg,2
1291,cow_1+_4080.jpg,1+
1293,cow_1_5668.jpg,1
1294,cow_1+_2072.jpg,1+
1295,cow_1+_3819.jpg,1+
1297,cow_2_1367.jpg,2
1300,cow_2_5327.jpg,2
1304,cow_3_3408.jpg,3
1307,cow_1+_4.jpg,1+
1309,cow_1++_792.jpg,1++
1310,cow_1+_4004.jpg,1+
1312,cow_2_940.jpg,2
1313,cow_1_1107.jpg,1
1315,cow_1_1927.jpg,1
1316,cow_1_1840.jpg,1
1317,cow_3_1860.jpg,3
1319,cow_1++_3494.jpg,1++
